"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"TID_GAME_MODE_19_DESC","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Секретный режим Brawl Stars. У каждой команды есть Король - боец с большим количеством здоровья. Если он погибает, команда противников одержит победу. Защити его!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!","Gizli Brawl Stars oyun modu. Her takımın bir kralı olur - canı çok olan savaşçı. Kralın ölürse, rakip takım kazanır. Onu koru!","Hidden Brawl Stars game mode. Each team has a King - brawler that has much hitpoints. If he dies, enemy team wins. Protect him!"
"TID_LOGIN_BLOCKED_FAQ",,,,,,,,,,,,,,,,,,"https://telegra.ph/Kak-ustanovit-Nulls-Brawl-na-iOS-04-23",,,
"TID_MATCHMAKE_FAILED_100","Battle start failed: servers are full or not available. Try again later.","فشل بدء المعركة: الخوادم ممتلئة أو غير متوفرة. حاول مرة أخرى لاحقاً.","对战开始失败：服务器已满或不可用。请稍后重试。","對戰開始失敗：伺服器已滿或不可用。請稍後再試。","Kampfbeginn fehlgeschlagen: Server sind voll oder nicht verfügbar. Versuche es später erneut.","Error al iniciar la batalla: los servidores están llenos o no disponibles. Inténtalo de nuevo más tarde.","Taistelun aloitus epäonnistui: palvelimet ovat täynnä tai eivät ole käytettävissä. Yritä myöhemmin uudelleen.","Échec du lancement de la bataille : les serveurs sont pleins ou indisponibles. Réessayez plus tard.","התחלת הקרב נכשלה: השרתים מלאים או לא זמינים. נסה שוב מאוחר יותר.","Gagal memulai pertempuran: server penuh atau tidak tersedia. Coba lagi nanti.","Avvio della battaglia fallito: i server sono pieni o non disponibili. Riprova più tardi.","バトル開始に失敗しました：サーバーが満員か利用できません。後でもう一度お試しください。","전투 시작 실패: 서버가 가득 찼거나 사용 불가입니다. 나중에 다시 시도해 주세요.","Permulaan pertempuran gagal: pelayan penuh atau tidak tersedia. Sila cuba lagi nanti.","Start van het gevecht mislukt: servers zijn vol of niet beschikbaar. Probeer het later opnieuw.","Nie udało się rozpocząć bitwy: serwery są pełne lub niedostępne. Spróbuj ponownie później.","Falha ao iniciar a batalha: servidores cheios ou indisponíveis. Tente novamente mais tarde.","Начать бой не удалось: сервера заполнены или недоступны. Попробуйте позже.","เริ่มการต่อสู้ล้มเหลว: เซิร์ฟเวอร์เต็มหรือไม่พร้อมใช้งาน กรุณาลองใหม่ภายหลัง","Savaş başlatılamadı: sunucular ağır yüklü ya da mevcut değil. Daha sonra tekrar dene.","Không thể bắt đầu trận đấu: máy chủ đã đầy hoặc không khả dụng. Vui lòng thử lại sau."
"TID_MATCHMAKE_FAILED_101","Matchmake failed: game client is not updated yet to play this game mode. Please, try to fully restart the game!","فشل البحث عن مباراة: لم يتم تحديث عميل اللعبة لهذا النمط بعد. يرجى محاولة إعادة تشغيل اللعبة بالكامل!","匹配失败：您的游戏客户端尚未更新，无法进行此游戏模式。请尝试完全重启游戏！","配對失敗：您的遊戲客戶端尚未更新，無法進行此模式。請嘗試完全重啟遊戲！","Matchmaking fehlgeschlagen: Der Spielclient ist für diesen Modus noch nicht aktualisiert. Bitte starte das Spiel vollständig neu!","Error al emparejar: el cliente del juego no está actualizado para este modo. ¡Por favor, intenta reiniciar el juego por completo!","Ottelunhaku epäonnistui: peliasiakasta ei ole vielä päivitetty tätä pelimuotoa varten. Yritä käynnistää peli kokonaan uudelleen!","Échec de la recherche de partie : le client du jeu n’est pas encore mis à jour pour ce mode. Veuillez redémarrer complètement le jeu !","ההתאמה נכשלה: לקוח המשחק עדיין לא עודכן למצב משחק זה. נסה להפעיל את המשחק מחדש לחלוטין!","Gagal mencocokkan: klien game belum diperbarui untuk mode ini. Cobalah mulai ulang game sepenuhnya!","Matchmaking fallito: il client di gioco non è ancora aggiornato per questa modalità. Prova a riavviare completamente il gioco!","マッチメイキングに失敗しました：ゲームクライアントがこのモードに対応するようまだ更新されていません。ゲームを完全に再起動してください！","매치메이킹 실패: 게임 클라이언트가 아직 이 게임 모드를 플레이할 수 있도록 업데이트되지 않았습니다. 게임을 완전히 재시작해 주세요!","Padanan gagal: klien permainan belum dikemas kini untuk mod ini. Sila cuba mulakan semula permainan sepenuhnya!","Matchmaking mislukt: de gameclient is nog niet bijgewerkt voor deze spelmodus. Probeer het spel volledig opnieuw op te starten!","Nie udało się znaleźć meczu: klient gry nie został jeszcze zaktualizowany dla tego trybu gry. Spróbuj całkowicie zrestartować grę!","Falha ao encontrar partida: o cliente do jogo ainda não está atualizado para este modo de jogo. Por favor, tente reiniciar o jogo completamente!","Подбор противников не удался: клиент еще не обновлен для возможности играть в этом режиме. Пожалуйста, попробуйте полностью перезапустить игру!","จับคู่ล้มเหลว: ไคลเอนต์เกมยังไม่ได้อัปเดตให้เล่นโหมดนี้ได้ กรุณารีสตาร์ทเกมใหม่ทั้งหมด!","Eşleştirme başarısız: oyun istemcisi bu oyun modu için henüz güncellenmedi. Lütfen oyunu tamamen yeniden başlatın!","Ghép trận thất bại: phần mềm trò chơi chưa được cập nhật để chơi chế độ này. Vui lòng thử khởi động lại trò chơi!"
"TID_NEWS_TAB_ESPORTS","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Параметры игры</c>","<cd4bdfc>NB: Battle settings</c>","<cd4bdfc>NB: Savaş ayarları</c>","<cd4bdfc>NB: Battle settings</c>"
"TID_NT_SPEEDRUN_RANDOM","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>Забрать 10 старр дропов</c>","<cf0a000>Take 10 starr drops</c>","<cf0a000>10 tane Starr Drop aç</c>","<cf0a000>Take 10 starr drops</c>"
"TID_NT_SPEEDRUN_RANDOM_50","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>Забрать 50 старр дропов</c>","<cf0a0e0>Take 50 starr drops</c>","<cf0a0e0>50 tane Starr Drop aç</c>","<cf0a0e0>Take 50 starr drops</c>"
"TID_NT_SPEEDRUN_SKINS","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Unlock all skins!</c>","<c6>Получить все скины!</c>","<c6>Unlock all skins!</c>","<c6>Bütün kostümleri aç!</c>","<c6>Unlock all skins!</c>"
"TID_NT_SPEEDRUN_UNLOCK","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Unlock all brawlers!</c>","<c7>Получить всех персонажей!</c>","<c7>Unlock all brawlers!</c>","<c7>Bütün savaşçıları aç!</c>","<c7>Unlock all brawlers!</c>"
"TID_NT_SPEEDRUN_UPGRADE","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Upgrade all brawlers!</c>","<c2>Прокачать всех персонажей!</c>","<c2>Upgrade all brawlers!</c>","<c2>Bütün karakterleri son seviyeye yükselt!</c>","<c2>Upgrade all brawlers!</c>"
"TID_NT_SPEEDRUN_VANITY","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Получить все косметические предметы!</c>","<c3>Unlock all cosmetic items!</c>","<c3>Tüm kozmetik öğelerin kilidini aç!</c>","<c3>Unlock all cosmetic items!</c>"
"TID_PARENTS_GUIDE_BUTTON","<cba55d3>Follow us in Telegram</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Наш канал в Telegram</c>","<cba55d3>Follow us in Telegram (EN)</c>","<cba55d3>Bizi Telegram’dan takip edin (İnglizce)</c>","<cba55d3>Follow us in Telegram (EN)</c>"
"TID_PROTECT_KING_INTRO_TEXT",,,,,,,,,,,,,,,,,,,,,
"TID_RANDOM_GAME_MODE","MYSTERY MODE","وضع اللغز","随机应变模式","神秘隨機戰模式","GEHEIMNISMODUS","MODO MISTERIO","MYSTEERITILA","MODE MYSTÈRE","מצב תעלומה","MODE MISTERI","MODALITÀ MISTERO","ミステリーモード","미스터리 모드","MOD MISTERI","MYSTERIEMODUS","TRYB TAJEMNICY","MODO MISTÉRIO","ЗАГАДОЧНЫЙ РЕЖИМ","โหมดปริศนา","SÜRPRİZ MOD","CHẾ ĐỘ BÍ ẨN"
"TID_RANDOM_GAME_MODE_3V3","3v3 + Modifiers!","3 ضد 3 + متغيرات","3对3+随机事件","3v3+隨機事件!","3v3 + Modifikatoren!","¡3c3 y modificadores!","3v3 + muokkaajia!","3c3 et modificateurs!","3 נ גד 3 + משני מצב!","3v3 + Modifikasi Laga!","3v3 + modificatori!","3対3 + 特別ルール!","3대3++추가 모드!","3 lwn 3 + Pengubah Suai!","3-tegen-3 + aanpassingen!","3 na 3 + modyfikatory!","3x3 + modificadores!","3 на 3 с модификаторами!","3v3 + ตัวดัดแปลง!","3'e 3 + Dış Etkenler!","3v3 + Yếu tố điều chỉnh!"
"TID_SELECT_PLAYER_NAME_COLOR_FAIL_2","Not available at the moment.","غير متوفر حالياً.","当前不可用。","目前無法使用。","Zurzeit nicht verfügbar.","No disponible en este momento.","Ei saatavilla tällä hetkellä.","Indisponible pour le moment.","לא זמין כרגע.","Tidak tersedia saat ini.","Non disponibile al momento.","現在はご利用いただけません。","현재 이용하실 수 없습니다.","Tidak tersedia buat masa ini.","Op dit moment niet beschikbaar.","Obecnie niedostępne.","Indisponível no momento.","Недоступно на данный момент.","ขณะนี้ไม่พร้อมใช้งาน","Şu anlık mevcut değil.","Hiện không khả dụng."
"TID_SETTINGS_RANDOM_REWARD_RATES","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Manage mods</c>","<cba55d3>Меню модов</c>","<cba55d3>Manage mods</c>","<cd4bdfc>Mod yönetimi</c>","<cba55d3>Manage mods</c>"
"TID_SETTINGS_SC_ID","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
"TID_SPEC_SPOT_FROM_AIR","SPOT","الرصد","空中侦察","見獵心喜","LUFTAUFKLÄRUNG","CON ALTURA","BONGAUS","REPÉRAGE","זיהוי","KETEMU!","VEDETTA","スポット","발견","TAJAM MATA","SPOTTER","DOSTRZEŻ","DETECÇÃO INIMIGA","ЗОРКОСТЬ","สายตาคมกริบ","NOKTA","TINH MẮT"
"TID_STREAM_EVENT_50","<sender> updates the club settings.","<sender> يقوم بتحديث إعدادات النادي.","<sender> 更新了俱乐部设置。","<sender> 更新了俱樂部設定。","<sender> aktualisiert die Club-Einstellungen.","<sender> actualiza la configuración del club.","<sender> päivittää klubin asetuksia.","<sender> met à jour les paramètres du club.","<sender> מעדכן את הגדרות המועדון.","<sender> memperbarui pengaturan klub.","<sender> aggiorna le impostazioni del club.","<sender> がクラブの設定を更新しました。","<sender> 클럽 설정을 업데이트합니다.","<sender> mengemas kini tetapan kelab.","<sender> werkt de clubinstellingen bij.","<sender> aktualizuje ustawienia klubu.","<sender> atualiza as configurações do clube.","<sender> обновляет настройки клуба.","<sender> กำลังอัปเดตการตั้งค่าคลับ","<sender> kulüp ayarlarını güncelliyor.","<sender> cập nhật cài đặt câu lạc bộ."
"TID_STREAM_EVENT_51","<sender> updates the club settings and description.","<sender> يقوم بتحديث إعدادات ووصف النادي.","<sender> 更新了俱乐部设置和描述。","<sender> 更新了俱樂部設定和描述。","<sender> aktualisiert die Club-Einstellungen und -Beschreibung.","<sender> actualiza la configuración y la descripción del club.","<sender> päivittää klubin asetukset ja kuvauksen.","<sender> met à jour les paramètres et la description du club.","<sender> מעדכן את הגדרות ותיאור המועדון.","<sender> memperbarui pengaturan dan deskripsi klub.","<sender> aggiorna le impostazioni e la descrizione del club.","<sender> がクラブの設定と説明を更新しました。","<sender> 클럽 설정과 설명을 업데이트합니다.","<sender> mengemas kini tetapan dan keterangan kelab.","<sender> werkt de clubinstellingen en beschrijving bij.","<sender> aktualizuje ustawienia i opis klubu.","<sender> atualiza as configurações e a descrição do clube.","<sender> обновляет настройки и описание клуба.","<sender> กำลังอัปเดตการตั้งค่าและคำอธิบายคลับ","<sender> kulüp ayarlarını ve açıklamasını güncelliyor.","<sender> cập nhật cài đặt và mô tả câu lạc bộ."
"TID_SUPERCELL_ID_TITLE","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect","Null's Connect"
